CID,SMILES
568416,CC1=C(C=CC(=C1)Cl)OCCCC(=O)NO
15148,CCOP(=O)(OCC)ON1C(=O)C2=CC=CC3=C2C(=CC=C3)C1=O
11609955,CN(C)CC1=CC=C(C=C1)S(=O)(=O)N2C=CC(=C2)/C=C/C(=O)NO
100658,C1CC(=O)N(C1=O)OC(=O)CCCCCCC(=O)ON2C(=O)CCC2=O
2781852,C1=CC2=C(C=C1Cl)ONC2=O
6918454,C1CC1CONC(=O)C2=C(C(=C(C=C2)F)F)NC3=C(C=C(C=C3)I)Cl
67536,C1=CC=C(C=C1)C(=O)N(C2=CC=CC=C2)O
6918848,CC(C)[C@@H](C1=CC=CC=C1)C(=O)NC2=CC=C(C=C2)C(=O)NO
9826528,C1=CC(=C(C=C1I)F)NC2=C(C=CC(=C2F)F)C(=O)NOC[C@@H](CO)O
53340666,C1=CC=C(C=C1)N(C2=CC=CC=C2)C3=NC=C(C=N3)C(=O)NCCCCCCC(=O)NO
7097,CC(=O)OC(C1=CC=C(O1)[N+](=O)[O-])OC(=O)C
1232,C1CN(C(=O)C1N)O
9818682,C1CCC(CC1)CCC[C@H](CC(=O)NO)C2=NC(=NO2)C(=O)N
9571062,C1C(=O)N(C(=O)N1/N=C/C2=CC=C(O2)[N+](=O)[O-])CO
10369242,CC1=C(C(=NN1)C(F)(F)F)CC2=C(C3=C(S2)N(C(=O)N(C3=O)C)C(C)C)C(=O)N4C[C@](CO4)(C)O
9561033,CC(=O)N/N=C/C1=CC=C(O1)[N+](=O)[O-]
49857317,C1[C@@H]2[C@@H](C2NCC3=NC4=C(C=C3)C=C(C=C4)F)CN1C5=NC=C(C=N5)C(=O)NO
177258,CC1C(C(=O)N(O1)CCC2=CN=CN2)NC(=O)C3=CC=CC=C3O
22601,C1=C(OC(=C1)[N+](=O)[O-])C=NO
9866250,C1COCCC1(C(=O)NO)NS(=O)(=O)C2=CC=C(C=C2)OC3=CC=C(C=C3)F
60111983,C1=CC(=C(C=C1N2C(=O)/C(=C\C3=CC=C(O3)[N+](=O)[O-])/C(=O)N2)Cl)F
441563,COC1=CC2=C(C=C1)N(C(=O)[C@H](O2)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)O
448651,C1=C(C(=O)NO1)C(=O)O
44626296,C1=CC=C2C(=C1)C(C3=CC=CC=C3O2)C(=O)NO
11813928,CCCCC/C=C/C(=O)N(O)CCCNC(=O)CC(O)(C(=O)O)CC(=O)NCCCN(O)C(=O)/C=C/CCCCC
22868923,C1[C@@H](C(=O)N(C2=CC=CC=C21)O)N
5316752,C1=CC=C2C(=C1)N(C(=O)C(O2)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)O
9908389,CC(C)C[C@H]([C@H](CC=C)C(=O)NO)C(=O)N[C@@H](CC1=CC=CC=C1)C(=O)NC
58114415,C1=CC=C2C(=C1)N(C(=O)C(O2)OC3C(C(C(C(O3)CO)O)O)O)O
65720,C1C(C(=O)NO1)N=CC2=CC=C(C=C2)C=NC3CONC3=O
75593290,C1CC1CON2C3=CC=CC=C3C(=C(C2=O)C(=O)NCC(=O)O)O
11452716,CC1([C@@H](N(CCS1)S(=O)(=O)C2=CC=C(C=C2)OCC#CCO)C(=O)NO)C
123982,C[C@@H](C(=O)O)NC(=O)[C@H](CC1=CC=CC=C1)CC(=O)NO
21322,C1=CC=C(C=C1)C(=O)NOCC(=O)O
42642654,C1=CC(=C(C=C1I)F)NC2=C(C=CC3=CN=CN32)C(=O)NOCCO
192737,C1CONC1=O
71520717,CC1=CC(=CC(=C1)C(=O)NOCCCCCC(=O)NO)C
3082425,CC(=O)N(CCCNC(=O)CC(CC(=O)NCCCN(C(=O)C)O)(C(=O)O)O)O
6443207,CC(C)CC1=N/C(=C\C(C)C)/C(=O)N(C1=O)O
6433427,CSCC1CN(C(=O)O1)/N=C/C2=CC=C(O2)[N+](=O)[O-]
3342298,C1COCCC1(CS(=O)(=O)C2=CC=C(C=C2)OC3=CC=C(C=C3)Cl)C(=O)NO
123762,CC(=O)N(CCCC[C@@H](C(=O)O)NC(=O)CC(CC(=O)N[C@@H](CCCCN(C(=O)C)O)C(=O)O)(C(=O)O)O)O
133971,C1CCNC(=O)CCC(=O)N(CCCCCNC(=O)CCC(=O)N(CC1)O)O
79721,C1=CC=C(C(=C1)C(=O)NO)N
5353484,C1=CC(=CC(=C1)C(=O)NO)/C=C/C(=O)NO
142752,CCCCCCCCCC(=O)NO
6870646,C1C(=O)NC(=O)N1/N=C/C=C/C2=CC=C(O2)[N+](=O)[O-]
46214930,CC1=NN(C(=C1)NC2=NC=C(C(=C2)NC3=CC=CC=C3C(=O)NOC)Cl)C(C)C
702695,C1=C(OC(=C1)[N+](=O)[O-])/C=C/C(=O)O
10753,CC(=O)NC1=NC(=CS1)C2=CC=C(O2)[N+](=O)[O-]
587178,C1=CC(=CC=C1C(=O)NO)Cl
279980,C1=CC=C(C=C1)CCCC(=O)NO
11548630,C1CC(=O)N(OC1)CC2=CC(=C(C(=C2F)F)NC3=C(C=C(C=C3)I)F)C(=O)NOCCO
10226546,CC1=C(C(=NN1)C)CC2=C(C3=C(S2)N(C(=O)N(C3=O)C)CC(C)C)C(=O)N4C[C@@H](CO4)O
6252910,C1=C(OC(=C1)[N+](=O)[O-])/C=C/C(=NN=C(N)N)/C=C/C2=CC=C(O2)[N+](=O)[O-]
75743,CCC(=O)NO
10309899,C1CN(CCN1C2=NC=C(C=N2)C(=O)NO)S(=O)(=O)C3=CC4=CC=CC=C4C=C3
53630042,C1CCC(CC1)[C@@H](C(=O)OC2CCCC2)NCC3=CN=C(C=C3)CCC(=O)NO
148031,C1=CC=C2C(=C1)C=CC(=N2)C(=O)NO
3808331,C1=CC=C(C=C1)C(=O)N[O-].[K+]
169636,CC(=O)N(CCC[C@H]1C(=O)N[C@H](C(=O)N[C@H](C(=O)NCC(=O)NCC(=O)NCC(=O)N1)CCCN(C(=O)C)O)CCCN(C(=O)C)O)O
20527,CC(=O)N(C1=CC=C(C=C1)C2=CC=CC=C2)O
9937619,C1CC1CONC(=O)C2=CC(=C(C(=C2NC3=C(C=C(C=C3)I)Cl)F)F)Br
71722059,C1CC(=O)N(C1=O)OC(=O)N2CCN(CC2)C(C3=CC=C(C=C3)Cl)C4=CC=C(C=C4)Cl
5355635,C1=CC=C(C=C1)/C=C/C(=O)NO
1103958,C1=CC(=CC=C1NC(=O)C2=CC=C(O2)[N+](=O)[O-])I
88129,CCCC(CCC)C(=O)NO
74315,C(=O)(C(=O)NO)NO
9888141,CCOCOC[C@H](C[C@H](C)C(=O)NO)NC(=O)C1=CC=C(C=C1)OC2=CC=CC=C2
6478035,C1=C(OC(=C1)[N+](=O)[O-])/C=N/O
10370504,CC1=C(C=CC(=C1)CCC[C@H](CC(=O)NO)C(=O)N[C@H](C(=O)N[C@H](C)C2=CC=CC=C2)C(C)(C)C)C3=CC=CC=C3
65268,C(CCCC(=O)NO)CCCC(=O)NO
5373493,C1=C(OC(=C1)[N+](=O)[O-])/C=N\O
71466517,CC(C)([C@@H](C(=O)NO)NC(=O)C1=CC=C(C=C1)C#CC#C[C@@H]2C[C@H]2CO)N
239512,C1=CC=C(C=C1)C(C2=CC=CC=C2)C(=O)NO
162204,CC(=O)N(CCCP(=O)(O)O)O
10220017,C1=CC=C(C=C1)/C=C/C=C/C=C/C(=O)NO
44369716,C1=CC=C(C=C1)C2=CC=C(C=C2)C(=O)NO
17748273,C1=CC=C2C(=C1)C=CC=C2C3=CC=C(C=C3)C(=O)NO
194777,CC(C)C[C@H](CC(=O)NO)C(=O)N[C@@H](CC1=CC=CC=C1)C(=O)NC
6438164,CC(C)(C)C1=CC(=CC(=C1O)C(C)(C)C)/C=C/2\CCN(C2=O)OC
14671620,C1CCNC(=O)CCC(=O)N(CCCCNC(=O)CCC(=O)N(CCCCCNC(=O)CCC(=O)N(CC1)O)O)O
6323327,CC(=O)N(CCCC1C(=O)NC(C(=O)NC(C(=O)NCC(=O)NCC(=O)NCC(=O)N1)CCCN(C(=O)C)O)CCCN(C(=O)C)O)O
5353635,C1COCCN1CC2CN(C(=O)O2)/N=C\C3=CC=C(O3)[N+](=O)[O-]
3434,C1COCCN1CC2CN(C(=O)O2)N=CC3=CC=C(O3)[N+](=O)[O-]
71462653,CCCCN(CC1=CC=C(C=C1)C(=O)NO)C(=O)NC2=CC=CC=C2
5353852,C1=CC=C(C=C1)S(=O)(=O)NC2=CC=CC(=C2)C#C/C=C/C(=O)NO
11865,C1=COC(=C1)[N+](=O)[O-]
24756910,COC1=C(C=C2C(=C1)N=CN=C2NC3=CC=CC(=C3)C#C)OCCCCCCC(=O)NO
49850262,CN1CCC2=C(C1)C3=CC=CC=C3N2CC4=CC=C(C=C4)C(=O)NO
132519,CC(C)C[C@H](CC(=O)NO)C(=O)N[C@@H](CC1=CNC2=CC=CC=C21)C(=O)NC
401,C1C(C(=O)NO1)N
94882,COC(=O)C1=CC=C(O1)[N+](=O)[O-]
11538455,CN1C=C(C2=CC=CC=C21)CNCC3CCN(CC3)C4=NC=C(C=N4)C(=O)NO
54575456,CN(CC1=CC2=C(S1)C(=NC(=N2)C3=CN=C(C=C3)OC)N4CCOCC4)C5=NC=C(C=N5)C(=O)NO
69975,C1=CC(=O)N(C=C1)O
83168,CC(C)(C)OC(=O)ON1C(=O)CCC1=O
100682,C1CC(=O)N(C1=O)OC(=O)CCSSC2=CC=CC=N2
2726015,CC(C(=O)NC1=CC=C(C=C1)Cl)ONC(=O)C2=CC(=CC(=C2)C(F)(F)F)C(F)(F)F
82263,C1=CC2=C3C(=C1)C(=O)N(C(=O)C3=CC=C2)O
89529,C1C2C=CC1C3C2C(=O)N(C3=O)O
5173,C(CCCC(=O)NO)CCC(=O)NO
123933,C1C(C(=O)N(C1=O)OC(=O)CCSSCCC(=O)ON2C(=O)CC(C2=O)S(=O)(=O)O)S(=O)(=O)O
70318,C1=CC=C(C=C1)C2=CC(=O)NO2
115251,CC(=O)N(C1=CC=CC=C1)O
69865,C1C(=O)N(C2=CC=CC=C2O1)O
9571044,C1=C(OC(=C1)[N+](=O)[O-])/C=C/C=N/NC(=O)C2=CC=C(S2)[N+](=O)[O-]
9554232,CN1CCN(CC1)CC(=O)N/N=C/C2=CC=C(O2)[N+](=O)[O-]
121439991,CCC(C)(C)C(=O)N(CC1=CC=CC=C1)O
9562058,C1C(=NC(=O)N1/N=C/C2=CC=C(O2)[N+](=O)[O-])[O-].[Na+]
245297,C1=CC(=CC=C1C(=O)NO)N
14217344,CN1C[C@]2([C@@H]3C[C@@H]4[C@]5([C@H]2[C@H]1[C@H]3CO4)C6=CC=CC=C6N(C5=O)OC)C=C
117703516,C1=CC(=CC=C1CN(C2=NC=CN=C2)C3=NC=CN=C3)C(=O)NO
134812690,CN(CC1=C(C=C(C=C1)C(=O)NO)F)CC23CC4CC(C2)CC(C4)C3
11292680,CC(C)[C@H](C(=O)NO)N(OC(C)C)S(=O)(=O)C1=CC=C(C=C1)C2=CC=CC=C2
9822724,CC(C)C[C@H]([C@@H](C(=O)NO)OC)C(=O)N[C@H](C(=O)NC1=CC=CC=N1)C(C)(C)C
2866412,C1=CC=C2C(=C1)C3=C(O2)C=C(C=C3)NC(=O)C4=CC=C(O4)[N+](=O)[O-]
24689999,C1=CC=C2C=C(C=CC2=C1)CC(=O)NO
444599,CC(C)[C@H](C(=O)NO)N
5452233,C1=C(OC(=C1)[N+](=O)[O-])/C=N/NC(=S)N
6918714,CN(C)C1=CC=C(C=C1)C(=O)NCC2=CC=C(C=C2)/C=C/C(=O)NO
97663,C([C@@H](C(=O)O)N)C(=O)NO
151031,C1C(ONC1=O)C(C(=O)O)N
447407,CC(C)(C)C1=C(C(=O)NO1)C[C@@H](C(=O)O)N
71655802,C1CC=C(C1)C(=O)NO
5288596,CCCCCC1=CC=C(C=C1)C(=O)NC2=CC=C(C=C2)S(=O)(=O)N(CCN3CCOCC3)[C@H](C(C)C)C(=O)NO
9847838,CC1=NC2=CC=CC=C2C(=C1)COC3=CC=C(C=C3)[C@@]4(CCN(C4=O)[C@H](CC(C)C)C(=O)NO)N
4236420,CC1=C(C(=O)NO1)CCC(C(=O)O)N
128564,CC(C)C[C@H](CC(=O)NO)C(=O)N[C@@H](CC1=CC=C(C=C1)OC)C(=O)NC
9802768,C#CCN1CCC(CC1)(C(=O)NO)S(=O)(=O)C2=CC=C(C=C2)SC3=CC=CC=C3
9889867,CC1=NC2=CC=CC=C2C(=C1)COC3=CC=C(C=C3)NC(=O)[C@@H]4[C@H](CCCN4C)C(=O)NO
25201130,COC1=CC2=C(C=C1)N(C(=O)C(O2)OC3C(C(C(C(O3)CO)O)O)O)OC
9823454,C1=CC=C2C=C(C=CC2=C1)C[C@H](C(=O)NO)NS(=O)(=O)C3=CC4=CC=CC=C4C=C3
4368,CC1=C(C(=CC=C1)C(=O)NO)N(CC2=CN=CC=C2)S(=O)(=O)C3=CC=C(C=C3)OC
9904965,CC(C)C[C@H](CC(=O)NO)C(=O)N[C@H](C(=O)NC)C(C)(C)C
9828474,C(CCN)CCN(C(=O)CCC(=O)NCCCCCN(C(=O)CCC(=O)NCCCCC[N+](=O)[O-])O)O
5318098,CCC1=NC2CC3(C4CC1C2CO4)C5=CC=CC=C5N(C3=O)OC
216641,CC(=O)N(CCC[C@@H](C(=O)O)N)O
6918877,C1CCN(C1)CCN2C3=C(C=C(C=C3)/C=C/C(=O)NO)N=C2CCC4=CC=CC=C4
91623362,CNC(=O)C1=CC=C(C=C1)OC2=CC=C(C=C2)S(=O)(=O)[C@@]3(CCC4(C3)CCNCC4)C(=O)NO
9892815,COCCN1CCC(CC1)(C(=O)NO)S(=O)(=O)C2=CC=C(C=C2)OC3=CC=C(C=C3)OC(F)(F)F
118884610,CN1C(=O)C2CN(C1=O)CC3=C2C4=CC=CC=C4N3CC5=CC=C(C=C5)C(=O)NO
9886977,CC(C)(C)[C@@H](C(=O)NC)NC(=O)[C@H](C1=CC=C(C=C1)OC)[C@H](CO)C(=O)NO
9933197,C1COCCC1(C(=O)NO)S(=O)(=O)C2=CC=C(C=C2)OC3=CC=C(C=C3)C(F)(F)F
11749893,C1CC(C2=C(C1)ONC2=O)NCCCC(C3=CC=C(C=C3)F)C4=CC=C(C=C4)F
20771934,CC(C)CC1=CC=C(C=C1)C(=O)NO
828043,CCOC(=O)ON1C(=O)C2=CC=CC=C2C1=O
22004198,C1=CC(=CC=C1S(=O)(=O)NCC(=O)NO)Br
10379137,CN1C=C(C=C1/C=C/C(=O)NO)C(=O)CC2=CC=CC=C2
10344307,CC(C)C[C@@H]1[C@H](CCCOC2=CC=C(C[C@H](NC1=O)C(=O)NCC(=O)NC)C=C2)C(=O)NO
2994355,C1C2CC3CC1CC(C2)(C3)NC(=O)C4=CC=C(O4)[N+](=O)[O-]
6918876,CCN(CC)CCN1C2=C(C=C(C=C2)/C=C/C(=O)NO)N=C1CCC3=CC=CC=C3
9849669,CCC[C@@H]([C@@H](CC(C)C)C(=O)N[C@H]1CCCCN(C1=O)CC2=CC(=CC=C2)OC3=CC=CC=C3)C(=O)NO
641729,CC(C)CC1=C(C(=O)N(C1=O)O)C2=CC=C(C=C2)OCC=C(C)C
44418141,CN1C(=CC(=N1)C(F)(F)F)C2=CC=C(S2)C(=O)NO
9799221,C1CCN(C1)C2=CC=C(C=C2)C(=O)NCC3=CC=C(C=C3)/C=C/C(=O)NO
5288598,C1CC=C(C2=C(C1)ONC2=O)C[C@@H](C(=O)O)N
445228,COC1=CC2=C(C=C1)N(C(=O)[C@@H](O2)O)O
2996093,C1COCCN1C2=CC=CC=C2NC(=O)C3=CC=C(O3)[N+](=O)[O-]
44369352,C1=CC=C(C=C1)C2=CC(=CC=C2)C(=O)NO
44369651,C1=CC=C2C=C(C=CC2=C1)C3=CC=C(C=C3)C(=O)NO
13687209,C1=CC=C2C=C(C=CC2=C1)/C=C/C(=O)NO
46918725,C1=CC=C2C(=C1)C3=CC=CC=C3N2CCCCCC(=O)NO
123851,CC(=O)N(CCCCCNC(=O)CCC(=O)N(CCCCCNC(=O)CCC(=O)N(CCCCCN)[O-])[O-])[O-].[Fe+3]
11637291,C1=CC=C(C=C1)SCCCCCC(=O)NO
11833001,C1=CC=C2C=C(C=CC2=C1)CCCCCCCC(=O)NO
20227315,C1=CC=C2C=C3C=C(C=CC3=CC2=C1)C(=O)NO
9821883,CC(C)[C@H](C(=O)NO)N(CC1=CC=CC=C1)S(=O)(=O)C2=CC=C(C=C2)OC
10445302,COC1=CC=C(C=C1)S(=O)(=O)NCC(=O)NO
11528707,C1=CC(=CC=C1CCCCC(=O)NO)Cl
44315786,C1=CC2=C(C=C1Cl)NC(=O)N(C2=O)O
20227317,C1=CC=C2C(=C1)C=CC3=C2C=CC(=C3)C(=O)NO
