Code,Average IC50,Bioactivity,SMILES,INCHI-KEY
234666,23,active,C[n]1c(cccc2)c2c(CCNCc2ccc(/C=C/C(NO)=O)cc2)c1,AEDUBEGTPWKDCX-ZHACJKMWSA-N
1788990,5.7,active,C[n]1c(cccc2)c2c(CCNS(c2ccc(/C=C/C(NO)=O)cc2)(=O)=O)c1,RKTSEYQWZIYBNK-DHZHZOJOSA-N
2061295,62,active,C[n]1c(cccc2)c2c(CN(C2)CC2(C2)Oc(ccc(/C=C/C(NO)=O)c3)c3C2=O)c1,AGWREEWCXLWOFK-VQHVLOKHSA-N
2061304,85,active,C[n]1c(cccc2)c2c(CN(CC2)CC2(C2)Oc(ccc(/C=C/C(NO)=O)c3)c3C2=O)c1,SPYOZYAXAAQLOJ-VQHVLOKHSA-N
2061313,183,active,C[n]1c(cccc2)c2c(CN(CCC2)CC2(C2)Oc(ccc(/C=C/C(NO)=O)c3)c3C2=O)c1,RBYXIGUYGCKTLG-CSKARUKUSA-N
2061322,114,active,C[n]1c(cccc2)c2c(CN(CCC2)CCC2(C2)Oc(ccc(/C=C/C(NO)=O)c3)c3C2=O)c1,VFYLQHGDZPRLDY-CSKARUKUSA-N
363583,750,inactive,C[n]1nc(C(F)(F)F)cc1-c1ccc(C(NO)=O)[s]1,CBAUPWKIZUBNOQ-UHFFFAOYSA-N
2375811,71.5,active,C/C(\C(c(cc1OC)cc(OC)c1OC)=O)=C\c(cc1)cc(OCCCCCCCC(NO)=O)c1OC,NDWVAHMCNHGVBK-UHFFFAOYSA-N
2540335,1620,inactive,C/C(\c(cc1)cc(N(Cc(cc2)ccc2C(NO)=O)c2c3cccc2)c1S3=O)=N\O,CCKKWDXFXMBWJL-UHFFFAOYSA-N
2571576,330,inactive,C/C(\c(cc1)cc2c1Sc(cccc1)c1N2Cc(cc1)ccc1C(NO)=O)=N\O,VHJKUBXNSBFZJV-UHFFFAOYSA-N
405577,5000,inactive,C/C(\CCC(NO)=O)=C\Cc(c(O)c(c(CO1)c2C)C1=O)c2OC,XUEGRBSFQYYISJ-UHFFFAOYSA-N
405579,14000,inactive,C/C(\CCC(NO)=O)=C\Cc(c(OC)c(c(CO1)c2C)C1=O)c2OC,VEURGGSTVLSJTB-UHFFFAOYSA-N
405580,10400,inactive,C/C(\CCCC(NO)=O)=C\Cc(c(O)c(c(CO1)c2C)C1=O)c2OC,XPWZUAAQWQREED-UHFFFAOYSA-N
499956,22850,inactive,C\C(/C=C/C(NCCCC(NO)=O)=O)=C/c1ccccc1,FUYOFGPPVLTBJP-HQPHXAAQSA-N
131941,302,inactive,C\C(/C=C/C(NO)=O)=C/c(cc1)ccc1Cl,QTJGIAKMPQMBBB-KGPPANIHSA-N
132387,788,inactive,C\C(/C=C/C(NO)=O)=C/c(cc1)ccc1N(C)C,QVAIQTXMOLILPY-XHXKKNGZSA-N
132424,49,active,C\C(/C=C/C(NO)=O)=C/c(cc1)ccc1NS(c(cc1)ccc1Cl)(=O)=O,BOBJQDUAMVBMAJ-OPVRITPZSA-N
132324,74,active,C\C(/C=C/C(NO)=O)=C/c(cc1)ccc1NS(c(cc1)ccc1OC)(=O)=O,LQVOPOOSNCJYEY-JMWPUSIBSA-N
132388,172,active,C\C(/C=C/C(NO)=O)=C/c(cc1)ccc1NS(c1ccccc1)(=O)=O,GISUAUZOUJHYEC-BHMPQEJASA-N
499906,24.5,active,C\C(/C=C/c1ccccc1)=C/C(NCCCCCC(NO)=O)=O,FIMYEORZUZGRFU-XZXBZOLMSA-N
1350438,4090,inactive,C#Cc1cccc(NC(c(cc(cc2)NC(CCCCCC(NO)=O)=O)c2O)=O)c1,ZPBHSFKZQWJMJB-UHFFFAOYSA-N
1350442,2030,inactive,C#Cc1cccc(NC(c(cc(cc2)NC(CCCCCCC(NO)=O)=O)c2O)=O)c1,HWVGUGDECFASCK-UHFFFAOYSA-N
1350447,1210,inactive,C#Cc1cccc(NC(c(cc(cc2)OCCCCCCC(NO)=O)c2O)=O)c1,ISLKJNNRZPTFNN-UHFFFAOYSA-N
1350445,3270,inactive,C#Cc1cccc(NC(c2cc(NC(CCCCCC(NO)=O)=O)ccc2)=O)c1,NOLGGEQMSBTTPS-UHFFFAOYSA-N
1724375,1025,inactive,C#Cc1cccc(Nc2c(cc(cc3)OCc(cc4)ccc4C(Nc(cccc4)c4N)=O)c3ncn2)c1,SEVGOOROBLVJGK-UHFFFAOYSA-N
2188853,1000,inactive,C#Cc1cccc(Nc2c(cc(cc3)OCCCC(NO)=O)c3ncn2)c1,PWQNLOZKTWADFT-UHFFFAOYSA-N
1724376,5720,inactive,C#Cc1cccc(Nc2c(cc(cc3)S([n]4cc(/C=C/C(Nc(cccc5)c5N)=O)cc4)(=O)=O)c3ncn2)c1,UGEGMLHKJYPRKJ-JLHYYAGUSA-N
1724377,20.2,active,C#Cc1cccc(Nc2c(cc(cc3)S([n]4cc(/C=C/C(NO)=O)cc4)(=O)=O)c3ncn2)c1,XGSCWZVQRNHENL-RMKNXTFCSA-N
1724371,490,inactive,C#Cc1cccc(Nc2c(ccc(NC(c(cc3)ccc3C(Nc(cccc3)c3N)=O)=O)c3)c3ncn2)c1,YADIGKCHRAOMOI-UHFFFAOYSA-N
1724370,510,inactive,C#Cc1cccc(Nc2c(ccc(NC(c(cc3)cnc3C(Nc(cccc3)c3N)=O)=O)c3)c3ncn2)c1,WHXCYVUSVRUZHI-UHFFFAOYSA-N
1724369,380,inactive,C#Cc1cccc(Nc2c(ccc(NC(c3ccc(C(Nc(cccc4)c4N)=O)[s]3)=O)c3)c3ncn2)c1,ZOSHHOIGUVHIJR-UHFFFAOYSA-N
395812,87000,inactive,C#CCC(CCCCCC(Nc1ccccc1)=O)C(NO)=O,FVSKXOPTQXRXPL-UHFFFAOYSA-N
2149388,100,active,C#CCCC[n]1c(Sc2cc(OCC(NO)=O)ccc2)nc2c1ncnc2N,HPARBYNCKOIRPU-UHFFFAOYSA-N
1179729,15000,inactive,C=CC(CCCCC(Nc1ccccc1)=O)CC(NO)=O,ZKRIDNTULCULNK-UHFFFAOYSA-N
1165859,90,active,C=CCC(/C=C/c1ccccc1)[n]1nnc(/C=C/C(NO)=O)c1,QMMZZRBRXXVTHB-WGDLNXRISA-N
395811,144000,inactive,C=CCC(CCCCCC(Nc1ccccc1)=O)C(NO)=O,OVPOSHCGPNXORK-UHFFFAOYSA-N
354032,4270,inactive,C=CCN(CCC=C1CCC(NO)=O)C1=O,KQBZKIULBHIJMU-UHFFFAOYSA-N
1732191,84.3,active,CC([C@@H](C(N[C@H](Cc1c[nH]c2c1cccc2)COc1ccc(/C=C/C(NO)=O)cc1)=O)NC(OC(C)(C)C)=O)O,CNOWRLQRPGVLOZ-UXCDVPTHSA-N
336028,5300,inactive,CC(/C=C(\C)/C=C/C(NO)=O)Sc(cc1)ccc1N(C)C,RTUXHWGTLOLXLW-WKWSCTOISA-N
1332727,95130,inactive,CC(/C=C(\C)/C=C/C(O)=O)C(c(cc1)ccc1N(C)C)=O,VKEITMNFEJHFCX-WKWSCTOISA-N
1165380,62,active,CC(/C=C/c1ccccc1)[n]1nnc(/C=C/C(NO)=O)c1,MRQFZMGSPGRHGO-XBLVEGMJSA-N
592381,1.7,active,CC(/C=C/c1ccccc1)N(CC1)CCN1c(nc1)ncc1C(NO)=O,JMUDLVWSKDYNSZ-BQYQJAHWSA-N
87103,732,inactive,CC(C(C1)C(NCCCCCCC(NO)=O)=O)c2c1cccc2,YQUQVMVGXIACFA-UHFFFAOYSA-N
1508937,100,active,CC(c(cc1)ccc1Cl)Nc(c1c2)ncnc1cc(OC)c2OCCCCCCC(NO)=O,XDFXVPOVSDJRPC-UHFFFAOYSA-N
1508936,100,active,CC(c(cc1)ccc1F)Nc(c1c2)ncnc1cc(OC)c2OCCCCCCC(NO)=O,KHRPCRNETLJSDS-UHFFFAOYSA-N
2193426,100,active,CC(c(cc1)ccc1F)Nc1ncnc2c1cc(-c(cc1)ccc1C(NO)=O)[nH]2,YBXLBZOKGBWPKP-UHFFFAOYSA-N
1819031,861.5,inactive,CC(C(NC(Cc1c[nH]c2c1cccc2)COc1cc(/C=C/C(NO)=O)ccc1)=O)NC(OC(C)(C)C)=O,CIIHVAIHBDXSQY-OUKQBFOZSA-N
570729,16000,inactive,CC(C(NO)=O)(c1ccccc1)c1ccccc1,LDAQHFMKFUATRE-UHFFFAOYSA-N
2165582,1000,inactive,CC(C(NO)=O)NC(c1nccc(Oc(cc2)ccc2NC(Nc(cc2)cc(C(F)(F)F)c2Cl)=O)c1)=O,WDJSJPCJRUZHKE-UHFFFAOYSA-N
2437235,4075,inactive,CC(C(NOCc1ccc(/C=C/C(NO)=O)cc1)=O)(c1ccccc1)c1ccccc1,JCWRKWQMBRWFOM-WUKNDPDISA-N
1612937,9800,inactive,Cc(c(O)c1O)c([C@@H](O[C@H]2C3=O)Oc4c2c(C=O)c(C)c(O)c4O)c3c1O,AHNFXMBOWJVAPB-AEFFLSMTSA-N
1612941,14200,inactive,Cc(c(O)c1O)c(C=O)c2c1[o]c(-c(c(C=O)c1O)c(C)c(O)c1O)c2,HTCVSLIHSFBUEL-UHFFFAOYSA-N
578820,1028,inactive,CC(C)(C(N[C@@H](CCCCCC(O)=O)C(N[C@@H](Cc1cccc2ccccc12)C(N[C@@H](Cc1c[nH]c2c1cccc2)C1)=O)=O)=O)NC1=O,XWFVREBOAYEGTM-JOYXZSCHSA-N
318026,98,active,CC(C)(C(Nc(cc1)ccc1C(NO)=O)=O)c1ccccc1,JIABWGUGVPHCNE-UHFFFAOYSA-N
1165855,18,active,CC(C)(C)C(/C=C/c1ccccc1)[n]1nnc(/C=C/C(NO)=O)c1,VZFNPGQXAMLZHT-WGDLNXRISA-N
1510835,1365,inactive,CC(C)(C)c(cc1)ccc1NC(NOCCCCCC(NO)=O)=O,ULAZOIMRJDPSEX-UHFFFAOYSA-N
1444280,1940,inactive,CC(C)(C)C(CCCCC(NO)=O)CC(Nc1ccccc1)=O,JRMBLOKETNNOQB-UHFFFAOYSA-N
476443,9100,inactive,CC(C)(C)c1c[s]c(NC(C(CCCCNS(N)(=O)=O)NC(OCc2ccccc2)=O)=O)n1,BBDWOHDPFZUDCG-UHFFFAOYSA-N
2481858,1115,inactive,CC(C)(C)c1cc(C(NOCCCCCC(NO)=O)=O)cc(C(C)(C)C)c1,PCYKSKSJYJIDFL-UHFFFAOYSA-N
1845058,380,inactive,CC(C)(C)c1ccc(CCCN(C=CC=C2/C=C/C(NO)=O)C2=O)cc1,CPXIHKRVRMEQTD-JLHYYAGUSA-N
1845047,110,active,CC(C)(C)c1ccc(CCN(C=CC=C2/C=C/C(NO)=O)C2=O)cc1,OSJVKFITGNUOMV-DHZHZOJOSA-N
1845037,90,active,CC(C)(C)c1ccc(CN(C=CC=C2/C=C/C(NO)=O)C2=O)cc1,WSJBXAIBZZMOTA-DHZHZOJOSA-N
